nota_midi,tempo_inicio,duracao_segundos
76,0.0,0.37183560416666667
69,0.37183560416666667,0.17879754583333335
71,0.55063315,0.17800640624999997
72,0.72863955625,0.4050634666666667
71,1.1337030229166667,0.1787975458333333
69,1.31250056875,0.19462033749999996
68,1.50712090625,0.40427232708333327
69,1.9113932333333332,0.3568039520833335
76,2.2681971854166667,0.37262674375000016
76,2.640823929166667,0.7452534874999999
64,3.3860774166666667,0.19462033749999996
65,3.5806977541666667,0.1621836145833333
64,3.74288136875,0.1780064062500002
76,3.920887775,0.21044312916666685
64,4.131330904166667,0.19382919791666708
65,4.325160102083334,0.19462033749999996
64,4.519780439583334,0.17879754583333352
74,4.698577985416668,0.19462033749999996
64,4.893198322916668,0.17800640624999975
65,5.071204729166667,0.2104431291666664
64,5.281647858333334,0.17879754583333352
72,5.460445404166667,0.19462033749999996
71,5.655065741666667,0.20965198958333353
68,5.864717731250001,0.17879754583333352
76,6.043515277083334,0.3892406749999999
72,6.432755952083334,0.19382919791666708
69,6.626585150000001,0.17800640624999975
77,6.804591556250001,0.35680395208333326
74,7.161395508333334,0.17800640624999975
71,7.339401914583334,0.17879754583333352
79,7.5181994604166675,0.40506346666666637
76,7.923262927083334,0.19382919791666708
72,8.117092125000001,0.17879754583333352
79,8.295889670833335,0.3726267437500006
79,8.668516414583335,0.777690210416667
76,9.446206625000002,0.17800640625000064
79,9.624213031250003,0.19462033749999996
76,9.818833368750003,0.17800640625000064
72,9.996839775000003,0.19462033749999996
67,10.191460112500003,0.2104431291666664
72,10.40190324166667,0.17800640625000064
76,10.57990964791667,0.17879754583333352
79,10.758707193750004,0.2587026437500004
74,11.017409837500004,0.22626592083333286
79,11.243675758333337,0.17879754583333352
74,11.42247330416667,0.19462033749999996
71,11.61709364166667,0.2104431291666664
67,11.827536770833337,0.1621836145833342
71,11.989720385416671,0.17800640625000064
74,12.167726791666672,0.19462033749999996
77,12.362347129166672,0.17879754583333352
76,12.541144675000005,0.17721526666666598
79,12.718359941666671,0.19462033749999996
76,12.912980279166671,0.17879754583333352
72,13.091777825000005,0.19382919791666708
67,13.285607022916672,0.17879754583333352
72,13.464404568750005,0.1621836145833342
76,13.62658818333334,0.17800640625000064
79,13.80459458958334,0.2104431291666664
74,14.015037718750007,0.16139247499999954
77,14.176430193750006,0.2112342687499993
74,14.387664462500005,0.17800640625000064
71,14.565670868750006,0.17879754583333352
67,14.74446841458334,0.17800640625000064
71,14.92247482083334,0.2104431291666664
74,15.132917950000007,0.17800640625000064
79,15.310924356250007,0.27531657499999973
64,15.586240931250007,0.1621836145833342
65,15.748424545833341,0.17879754583333352
67,15.927222091666675,0.38844953541666527
67,16.31567162708334,0.1621836145833342
69,16.477855241666674,0.19462033750000174
71,16.672475579166676,0.3560128125000013
72,17.028488391666677,0.17879754583333352
71,17.20728593750001,0.17800640624999886
72,17.38529234375001,0.34019002083333305
82,17.725482364583343,0.8591775874999996
65,18.584659952083342,0.16139247499999954
72,18.74605242708334,0.1621836145833342
81,18.908236041666676,0.17879754583333352
79,19.08703358750001,0.2104431291666664
81,19.297476716666676,0.7286395562499983
66,20.026116272916674,0.17800640624999886
69,20.204122679166673,0.24367099166666506
74,20.447793670833338,0.34019002083333305
84,20.78798369166667,0.8093357937500016
83,21.597319485416673,0.3243672291666684
81,21.92168671458334,0.17800640624999886
79,22.09969312083334,0.1621836145833342
86,22.261876735416674,0.40506346666666815
77,22.666940202083342,0.3892406749999999
76,23.056180877083342,0.19462033750000174
74,23.250801214583344,0.19462033750000174
76,23.445421552083346,0.38844953541666527
84,23.83387108750001,0.38844953541666527
76,24.222320622916676,0.3892406749999999
77,24.611561297916676,0.17800640624999886
81,24.789567704166675,0.19462033750000174
77,24.984188041666677,0.19462033750000174
74,25.17880837916668,0.2104431291666664
74,25.389251508333345,0.17879754583333352
77,25.56804905416668,0.2104431291666664
74,25.778492183333345,0.1645570333333346
71,25.94304921666668,0.19462033750000174
71,26.13766955416668,0.17879754583333352
74,26.316467100000015,0.20965198958333175
71,26.526119089583347,0.19462033750000174
67,26.72073942708335,0.19462033750000174
79,26.91535976458335,0.38844953541666527
77,27.303809300000015,0.3726267437500006
76,27.676436043750016,0.3568039520833324
74,28.03323999583335,0.19462033750000174
72,28.22786033333335,0.2104431291666664
74,28.438303462500016,0.3726267437500006
71,28.810930206250017,0.3726267437500006
72,29.183556950000018,0.8425636562500003
