media_simples,media_ponderada,desvio_padrao
71.7,72.52990654205608,3.034798181098704
67.73333333333333,68.41443780836147,4.552898954390366
74.8,76.34392228931478,3.5156791662493894
74.0,74.08001022494888,3.7080992435478315
74.0,74.23850350740452,3.7080992435478315
70.0,72.72427440633244,4.8373546489791295
74.8,77.54535842672871,6.321392251711643
79.2,79.58477690288714,3.867815921162743
74.57142857142857,75.01316468766132,3.599886619529758
73.16666666666667,72.93164983164984,1.674979270186815
