media_simples,media_ponderada,desvio_padrao
51.666666666666664,51.073414501181176,6.073622386096199
49.75,49.16507936507937,6.08447477875727
51.666666666666664,51.00462566386843,6.073622386096199
51.666666666666664,51.00462566386843,6.073622386096199
57.63636363636363,57.76212093698929,3.5489493265351157
55.5,55.44962847762226,3.8188130791298667
55.5,55.44962847762226,3.8188130791298667
55.72727272727273,55.297048611111116,4.974314189201619
55.0,55.65154169586545,4.786344211304794
53.27272727272727,54.18839835728956,4.900666171615838
50.416666666666664,50.48246350058734,4.786410160258127
52.142857142857146,48.995310871830476,4.997958767010258
