nota_midi,tempo_inicio,duracao_segundos
58,0.06375,0.29937500000000006
57,0.36375,0.29937499999999995
58,0.663125,0.26812499999999995
50,0.9318749999999999,0.31562499999999993
51,1.2318749999999998,0.31499999999999995
43,1.5474999999999999,0.28437500000000004
41,1.8468749999999998,0.631875
57,2.47875,0.6312500000000001
50,3.11,0.39437500000000014
55,3.6625,0.26812499999999995
54,3.930625,0.3156249999999998
55,4.2625,0.2843749999999998
46,4.53125,0.3156250000000007
48,4.830625,0.2687500000000007
40,5.115000000000001,0.3156249999999998
38,5.430625000000001,0.2843749999999998
45,5.715000000000001,0.3468749999999998
50,6.061875000000001,0.2687499999999998
55,6.330625,0.2837500000000004
54,6.615000000000001,0.3000000000000007
57,6.9143750000000015,0.09500000000000064
58,7.2462500000000025,0.2999999999999998
57,7.546250000000002,0.3156250000000007
58,7.845625000000003,0.28500000000000103
50,8.130625000000004,0.3000000000000007
51,8.430625000000004,0.3156250000000007
43,8.746250000000005,0.2687500000000007
41,9.030625000000006,0.6631249999999991
57,9.693125000000006,0.6156249999999996
50,10.293125000000005,0.5843749999999996
55,10.876875000000005,0.28437499999999893
54,11.145625000000004,0.3000000000000007
55,11.445625000000005,0.2993749999999995
46,11.729375000000005,0.34750000000000014
48,12.060625000000005,0.2524999999999995
40,12.313750000000004,0.29999999999999893
38,12.613125000000004,0.31624999999999837
55,12.913125000000003,0.34750000000000014
54,13.245000000000003,0.8687500000000004
50,14.513125000000002,0.2524999999999995
54,14.765000000000002,0.31625000000000014
57,15.081250000000002,0.2681249999999995
60,15.349375000000002,0.29999999999999893
63,15.633125000000001,0.34750000000000014
62,15.949375000000002,0.33187499999999837
60,16.265625,0.3000000000000007
58,16.549375,0.31562499999999716
57,16.864375,0.30062500000000014
58,17.165,0.2993750000000013
55,17.449375,0.41000000000000014
48,18.09625,0.31625000000000014
52,18.4125,0.3000000000000007
55,18.728125000000002,0.3000000000000007
58,19.043125000000003,0.34750000000000014
62,19.359375000000004,0.2687500000000007
60,19.611875000000005,0.2843750000000007
58,19.880625000000006,0.2993750000000013
57,20.180000000000007,0.2843750000000007
55,20.464375000000008,0.34750000000000014
57,20.76375000000001,0.30062500000000014
53,21.04875000000001,0.2993750000000013
51,21.34812500000001,0.2687500000000007
50,21.63312500000001,0.2993750000000013
53,21.93250000000001,0.3312500000000007
58,22.263750000000012,0.31625000000000014
57,22.580000000000013,0.3156250000000007
58,22.879375000000014,0.2687500000000007
50,23.163750000000014,0.2843750000000007
51,23.448125000000015,0.3000000000000007
55,23.748125000000016,0.3312500000000007
58,24.047500000000017,0.31625000000000014
57,24.363750000000017,0.3000000000000007
58,24.663750000000018,0.3156250000000007
62,24.94812500000002,0.3000000000000007
60,25.24812500000002,0.2993750000000013
63,25.54750000000002,0.3312500000000007
62,25.84750000000002,0.33187500000000014
58,26.163125000000022,0.3156250000000007
53,26.463750000000022,0.3312500000000007
57,26.747500000000024,0.31625000000000014
58,27.047500000000024,0.31562499999999716
53,27.346875000000022,0.30062500000000014
50,27.647500000000022,0.2993750000000013
53,27.946875000000023,0.2375000000000007
46,28.234375000000025,0.5212499999999984
47,28.881875000000022,0.3156250000000007
50,29.213125000000023,0.3156250000000007
53,29.513125000000024,0.3156250000000007
56,29.813750000000024,0.2837500000000013
55,30.113125000000025,0.2687500000000007
53,30.396875000000026,0.3000000000000007
51,30.665625000000027,0.3312500000000007
55,30.950000000000028,0.23687500000000128
60,31.200000000000028,0.1999999999999993
62,31.400000000000027,0.3000000000000007
63,31.700000000000028,0.6999999999999993
45,32.496875000000024,0.3318749999999966
48,32.81250000000002,0.26874999999999716
51,33.08125000000002,0.31562499999999716
55,33.365000000000016,0.28437499999999716
53,33.64937500000001,0.29999999999999716
51,33.93375000000001,0.29999999999999716
50,34.24937500000001,0.2993749999999977
53,34.533750000000005,0.2524999999999977
58,34.800000000000004,0.29999999999999716
60,35.1,0.30000000000000426
62,35.300000000000004,0.7000000000000028
42,36.080625000000005,0.29999999999999716
45,36.364375,0.28437499999999716
48,36.64875,0.33124999999999716
51,36.94875,0.33124999999999716
50,37.24937499999999,0.3149999999999977
48,37.54812499999999,0.2849999999999966
46,37.83312499999999,0.31562499999999716
50,38.117499999999986,0.3149999999999977
55,38.41687499999998,0.31562499999999716
58,38.70124999999998,0.31562499999999716
57,39.00062499999998,0.3006249999999966
55,39.285624999999975,0.3149999999999977
48,39.60062499999997,0.3162499999999966
58,39.88562499999997,0.33124999999999716
57,40.18499999999997,0.3474999999999966
55,40.51687499999996,0.33124999999999716
50,40.83249999999996,0.3631249999999966
54,41.14812499999996,0.33124999999999716
43,41.464374999999954,1.578125
